Description	Resource	Path	Location	Type
Type d3fend.owl:ScheduledJob is not the same as or a sub type of the range of d3fend.owl:executes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13068 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SaveRegister is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 9719 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:ResumeThread is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 9714 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:ResumeProcess is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 9709 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:Resource is not the same as or a sub type of the range of d3fend.owl:reads	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13372 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:Resource is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14561 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:Resource is not the same as or a sub type of the range of d3fend.owl:accesses	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 11840 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:Resource is not the same as or a sub type of the range of d3fend.owl:accesses	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13720 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:Resource is not the same as or a sub type of the range of d3fend.owl:accesses	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14342 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:Resource is not the same as or a sub type of the range of d3fend.owl:accesses	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 58 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:Resource is not the same as or a sub type of the range of d3fend.owl:accesses	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 9491 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:RemovableMediaDevice is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13034 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:RemovableMediaDevice is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13544 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:RemovableMediaDevice is not the same as or a sub type of the range of d3fend.owl:executes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13538 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:RemovableMediaDevice is not the same as or a sub type of the range of d3fend.owl:accesses	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 12782 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:RemoteSession is not the same as or a sub type of the range of d3fend.owl:accesses	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15461 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
